"Operon_ID","Gene","Product"
226,"HCP21_00037770","hypothetical protein"
227,"HCP21_00037830","hypothetical protein"
227,"HCP21_00037850","hypothetical protein"
228,"HCP21_00037880","hypothetical protein"
228,"HCP21_00037900","hypothetical protein"
228,"HCP21_00038040","hypothetical protein"
228,"HCP21_00038070","Protein kinase domain."
228,"HCP21_00038130","Protein kinase domain."
228,"HCP21_00038200","E1-E2 ATPase."
228,"HCP21_00038340","N-acetyl-beta-hexosaminidase"
229,"HCP21_00038370","Glucan phosphorylase"
230,"HCP21_00038480","Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases"
231,"HCP21_00038540","hypothetical protein"
231,"HCP21_00038570","hypothetical protein"
231,"HCP21_00038680","hypothetical protein"
232,"HCP21_00038690","hypothetical protein"
232,"HCP21_00038710","hypothetical protein"
233,"HCP21_00038750","Helicase subunit of the DNA excision repair complex"
234,"HCP21_00038770","hypothetical protein"
235,"HCP21_00038790","hypothetical protein"
235,"HCP21_00039050","ATPase, P-type (transporting), HAD superfamily, subfamily IC"
235,"HCP21_00039110","16S"
236,"HCP21_00039120","16S"
236,"HCP21_00039220","Transcriptional activator, adenine-specific DNA methyltransferase"
